id,"time","trial","size","rating","partid"
1,"1540130043","1","0","12","ki35r2boc"
2,"1540130048","2","9","95","ki35r2boc"
3,"1540130052","3","18","100","ki35r2boc"
4,"1540130056","4","27","100","ki35r2boc"
5,"1540130062","5","36","100","ki35r2boc"
6,"1540130066","6","45","100","ki35r2boc"
7,"1540130070","7","54","100","ki35r2boc"
8,"1540130075","8","63","100","ki35r2boc"
9,"1540130080","9","64","100","ki35r2boc"
10,"1540130454","1","0","8","ujpjbqpp3"
11,"1540130458","2","9","72","ujpjbqpp3"
12,"1540130461","3","18","100","ujpjbqpp3"
13,"1540130464","4","27","100","ujpjbqpp3"
14,"1540130467","5","36","100","ujpjbqpp3"
15,"1540130470","6","45","100","ujpjbqpp3"
16,"1540130473","7","54","100","ujpjbqpp3"
17,"1540130475","8","63","100","ujpjbqpp3"
18,"1540130478","9","64","100","ujpjbqpp3"
19,"1540130932","1","0","21","7jb97qdob"
20,"1540130936","2","9","36","7jb97qdob"
21,"1540130940","3","18","65","7jb97qdob"
22,"1540130944","4","27","86","7jb97qdob"
23,"1540130949","5","36","89","7jb97qdob"
24,"1540130953","6","45","94","7jb97qdob"
25,"1540130957","7","54","98","7jb97qdob"
26,"1540130961","8","63","100","7jb97qdob"
27,"1540130964","9","64","100","7jb97qdob"
28,"1540137815","1","0","16","triuerqf6"
29,"1540137820","2","9","35","triuerqf6"
30,"1540137824","3","18","47","triuerqf6"
31,"1540137828","4","27","63","triuerqf6"
32,"1540137832","5","36","80","triuerqf6"
33,"1540137835","6","45","89","triuerqf6"
34,"1540137840","7","54","94","triuerqf6"
35,"1540137844","8","63","99","triuerqf6"
36,"1540137848","9","64","100","triuerqf6"
37,"1540137992","1","0","64","6afs8711b"
38,"1540137997","2","9","61","6afs8711b"
39,"1540138001","3","18","83","6afs8711b"
40,"1540138006","4","27","90","6afs8711b"
41,"1540138009","5","36","98","6afs8711b"
42,"1540138014","6","45","100","6afs8711b"
43,"1540138017","7","54","100","6afs8711b"
44,"1540138021","8","63","100","6afs8711b"
45,"1540138035","9","64","100","6afs8711b"
46,"1540145284","1","0","11","1ov5hag2l"
47,"1540145289","2","9","38","1ov5hag2l"
48,"1540145294","3","18","53","1ov5hag2l"
49,"1540145298","4","27","70","1ov5hag2l"
50,"1540145303","5","36","87","1ov5hag2l"
51,"1540145308","6","45","100","1ov5hag2l"
52,"1540145313","7","54","100","1ov5hag2l"
53,"1540145318","8","63","100","1ov5hag2l"
54,"1540145323","9","64","100","1ov5hag2l"
55,"36","1","0","15","9b8e0utpq"
56,"2","2","9","64","9b8e0utpq"
57,"2","3","18","78","9b8e0utpq"
58,"3","4","27","88","9b8e0utpq"
59,"2","5","36","96","9b8e0utpq"
60,"2","6","45","98","9b8e0utpq"
61,"3","7","54","100","9b8e0utpq"
62,"1","8","63","100","9b8e0utpq"
63,"3","9","64","100","9b8e0utpq"
64,"6","1","0","0","em108k482"
65,"3","2","9","33","em108k482"
66,"4","3","18","94","em108k482"
67,"4","4","27","100","em108k482"
68,"3","5","36","100","em108k482"
69,"4","6","45","100","em108k482"
70,"4","7","54","100","em108k482"
71,"4","8","63","100","em108k482"
72,"4","9","64","100","em108k482"
73,"8","1","0","8","47ammrms8"
74,"10","2","9","58","47ammrms8"
75,"5","3","18","81","47ammrms8"
76,"4","4","27","93","47ammrms8"
77,"4","5","36","97","47ammrms8"
78,"4","6","45","100","47ammrms8"
79,"5","7","54","99","47ammrms8"
80,"4","8","63","100","47ammrms8"
81,"3","9","64","100","47ammrms8"
82,"4","1","0","65","9kddg7894"
83,"3","2","9","71","9kddg7894"
84,"5","3","18","75","9kddg7894"
85,"4","4","27","96","9kddg7894"
86,"2","5","36","96","9kddg7894"
87,"2","6","45","100","9kddg7894"
88,"2","7","54","100","9kddg7894"
89,"2","8","63","100","9kddg7894"
90,"2","9","64","99","9kddg7894"
91,"4","1","0","38","q16p4lsb2"
92,"3","2","9","85","q16p4lsb2"
93,"3","3","18","86","q16p4lsb2"
94,"4","4","27","100","q16p4lsb2"
95,"3","5","36","100","q16p4lsb2"
96,"3","6","45","100","q16p4lsb2"
97,"3","7","54","100","q16p4lsb2"
98,"3","8","63","100","q16p4lsb2"
99,"4","9","64","100","q16p4lsb2"
100,"7","1","0","1","5oiqme01a"
101,"5","2","9","36","5oiqme01a"
102,"5","3","18","83","5oiqme01a"
103,"3","4","27","88","5oiqme01a"
104,"4","5","36","94","5oiqme01a"
105,"4","6","45","98","5oiqme01a"
106,"6","7","54","99","5oiqme01a"
107,"6","8","63","99","5oiqme01a"
108,"4","9","64","99","5oiqme01a"
109,"10","1","0","0","78vda8njl"
110,"5","2","9","57","78vda8njl"
111,"2","3","18","86","78vda8njl"
112,"3","4","27","93","78vda8njl"
113,"3","5","36","97","78vda8njl"
114,"3","6","45","98","78vda8njl"
115,"3","7","54","100","78vda8njl"
116,"3","8","63","100","78vda8njl"
117,"2","9","64","100","78vda8njl"
118,"7","1","0","7","tmgc2k6fp"
119,"10","2","9","91","tmgc2k6fp"
120,"6","3","18","97","tmgc2k6fp"
121,"7","4","27","99","tmgc2k6fp"
122,"4","5","36","100","tmgc2k6fp"
123,"5","6","45","100","tmgc2k6fp"
124,"5","7","54","100","tmgc2k6fp"
125,"5","8","63","100","tmgc2k6fp"
126,"5","9","64","100","tmgc2k6fp"
127,"6","1","0","100","67vvtm35c"
128,"7","2","9","23","67vvtm35c"
129,"7","3","18","5","67vvtm35c"
130,"6","4","27","73","67vvtm35c"
131,"5","5","36","100","67vvtm35c"
132,"4","6","45","100","67vvtm35c"
133,"3","7","54","100","67vvtm35c"
134,"3","8","63","100","67vvtm35c"
135,"3","9","64","100","67vvtm35c"
136,"7","1","0","30","3gv8ih70r"
137,"5","2","9","15","3gv8ih70r"
138,"4","3","18","72","3gv8ih70r"
139,"3","4","27","91","3gv8ih70r"
140,"4","5","36","100","3gv8ih70r"
141,"5","6","45","99","3gv8ih70r"
142,"5","7","54","99","3gv8ih70r"
143,"4","8","63","99","3gv8ih70r"
144,"5","9","64","100","3gv8ih70r"
145,"5","1","0","19","784kb88hv"
146,"4","2","9","59","784kb88hv"
147,"2","3","18","82","784kb88hv"
148,"3","4","27","93","784kb88hv"
149,"3","5","36","98","784kb88hv"
150,"3","6","45","99","784kb88hv"
151,"4","7","54","100","784kb88hv"
152,"3","8","63","100","784kb88hv"
153,"3","9","64","100","784kb88hv"
154,"7","1","0","0","dm612rsma"
155,"4","2","9","26","dm612rsma"
156,"3","3","18","43","dm612rsma"
157,"2","4","27","55","dm612rsma"
158,"3","5","36","62","dm612rsma"
159,"3","6","45","83","dm612rsma"
160,"6","7","54","90","dm612rsma"
161,"2","8","63","100","dm612rsma"
162,"3","9","64","100","dm612rsma"
163,"8","1","0","5","5bu68gqq1"
164,"14","2","9","53","5bu68gqq1"
165,"9","3","18","96","5bu68gqq1"
166,"6","4","27","100","5bu68gqq1"
167,"6","5","36","100","5bu68gqq1"
168,"7","6","45","100","5bu68gqq1"
169,"11","7","54","100","5bu68gqq1"
170,"8","8","63","100","5bu68gqq1"
171,"6","9","64","100","5bu68gqq1"
172,"12","1","0","10","428lrpo1d"
173,"6","2","9","12","428lrpo1d"
174,"5","3","18","11","428lrpo1d"
175,"5","4","27","11","428lrpo1d"
176,"5","5","36","12","428lrpo1d"
177,"5","6","45","12","428lrpo1d"
178,"6","7","54","11","428lrpo1d"
179,"7","8","63","11","428lrpo1d"
180,"5","9","64","100","428lrpo1d"
181,"7","1","0","12","uhbmkg4cc"
182,"5","2","9","15","uhbmkg4cc"
183,"4","3","18","24","uhbmkg4cc"
184,"5","4","27","44","uhbmkg4cc"
185,"4","5","36","64","uhbmkg4cc"
186,"5","6","45","84","uhbmkg4cc"
187,"5","7","54","96","uhbmkg4cc"
188,"5","8","63","98","uhbmkg4cc"
189,"5","9","64","100","uhbmkg4cc"
190,"6","1","0","17","hj5vrdu0r"
191,"4","2","9","27","hj5vrdu0r"
192,"5","3","18","91","hj5vrdu0r"
193,"5","4","27","97","hj5vrdu0r"
194,"3","5","36","91","hj5vrdu0r"
195,"3","6","45","100","hj5vrdu0r"
196,"4","7","54","99","hj5vrdu0r"
197,"4","8","63","100","hj5vrdu0r"
198,"4","9","64","100","hj5vrdu0r"
199,"20","1","0","17","e4blimrd7"
200,"8","2","9","61","e4blimrd7"
201,"6","3","18","90","e4blimrd7"
202,"4","4","27","100","e4blimrd7"
203,"4","5","36","100","e4blimrd7"
204,"4","6","45","100","e4blimrd7"
205,"5","7","54","100","e4blimrd7"
206,"4","8","63","100","e4blimrd7"
207,"4","9","64","88","e4blimrd7"
208,"9","1","0","4","fl1r2sbca"
209,"11","2","9","53","fl1r2sbca"
210,"6","3","18","37","fl1r2sbca"
211,"5","4","27","81","fl1r2sbca"
212,"6","5","36","94","fl1r2sbca"
213,"5","6","45","100","fl1r2sbca"
214,"8","1","0","11","gfdlsli7b"
215,"5","7","54","100","fl1r2sbca"
216,"8","2","9","37","gfdlsli7b"
217,"4","8","63","100","fl1r2sbca"
218,"4","9","64","100","fl1r2sbca"
219,"7","3","18","84","gfdlsli7b"
220,"6","4","27","78","gfdlsli7b"
221,"6","5","36","94","gfdlsli7b"
222,"7","6","45","97","gfdlsli7b"
223,"6","7","54","100","gfdlsli7b"
224,"5","8","63","100","gfdlsli7b"
225,"7","9","64","100","gfdlsli7b"
226,"10","1","0","0","lqd1n3oc8"
227,"5","2","9","11","lqd1n3oc8"
228,"11","1","0","4","hn33o5veu"
229,"9","3","18","13","lqd1n3oc8"
230,"5","2","9","27","hn33o5veu"
231,"7","4","27","21","lqd1n3oc8"
232,"8","3","18","43","hn33o5veu"
233,"7","5","36","25","lqd1n3oc8"
234,"7","4","27","48","hn33o5veu"
235,"4","6","45","34","lqd1n3oc8"
236,"5","7","54","42","lqd1n3oc8"
237,"5","8","63","63","lqd1n3oc8"
238,"15","5","36","53","hn33o5veu"
239,"5","9","64","93","lqd1n3oc8"
240,"7","6","45","57","hn33o5veu"
241,"6","7","54","76","hn33o5veu"
242,"7","8","63","100","hn33o5veu"
243,"5","9","64","100","hn33o5veu"
244,"8","1","0","4","mqh5j35hb"
245,"5","2","9","27","mqh5j35hb"
246,"8","3","18","38","mqh5j35hb"
247,"5","4","27","86","mqh5j35hb"
248,"7","5","36","93","mqh5j35hb"
249,"5","6","45","89","mqh5j35hb"
250,"4","7","54","96","mqh5j35hb"
251,"4","8","63","96","mqh5j35hb"
252,"6","9","64","92","mqh5j35hb"
253,"5","1","0","4","8344e8ie4"
254,"7","2","9","37","8344e8ie4"
255,"5","3","18","56","8344e8ie4"
256,"4","4","27","75","8344e8ie4"
257,"3","5","36","85","8344e8ie4"
258,"3","6","45","94","8344e8ie4"
259,"6","7","54","98","8344e8ie4"
260,"4","8","63","97","8344e8ie4"
261,"5","9","64","99","8344e8ie4"
262,"10","1","0","56","qnv5minjt"
263,"15","2","9","100","qnv5minjt"
264,"7","3","18","100","qnv5minjt"
265,"8","4","27","100","qnv5minjt"
266,"10","5","36","100","qnv5minjt"
267,"6","6","45","100","qnv5minjt"
268,"10","7","54","100","qnv5minjt"
269,"7","8","63","100","qnv5minjt"
270,"10","9","64","100","qnv5minjt"
271,"10","1","0","2","ephuob1hc"
272,"12","2","9","26","ephuob1hc"
273,"8","3","18","41","ephuob1hc"
274,"11","4","27","52","ephuob1hc"
275,"8","5","36","69","ephuob1hc"
276,"7","6","45","93","ephuob1hc"
277,"8","7","54","97","ephuob1hc"
278,"8","8","63","99","ephuob1hc"
279,"8","9","64","100","ephuob1hc"
